reaction	flux
2AGPEAT181	354.9623505
OGMEACPD	93.71128804
ACACT7r	888.7148127
NTPP11	143.5559868
FACOAL181t2pp	630.2234913
RNTR1c2	397.7633751
2AGPEAT140	487.926925
GALTtex	239.0709613
ARGabcpp	170.2741175
TTDCAtexi	142.6301232
MG2tex	214.4173064
DUMPtex	877.5161108
CHTBStex	516.1974549
NTD3	988.8169413
NTD3pp	79.5873949
PACALDt2rpp	564.3857402
NTRIR3pp	93.37424384
SUCBZL	127.4267307
NTD9	722.7051834
NTD9pp	452.9965824
2AGPA120tipp	976.6009891
DHPS2	955.0885768
METDabcpp	404.1692791
NTD8	850.8025829
NTD8pp	157.2961931
METOX1s	457.5222597
AGM4PApp	676.7309087
PYDXNtpp	376.3604192
GLCptspp	923.9298114
CPGNUtex	772.9286209
G3PStex	575.7951144
URAt2pp	133.604247
HMBS	71.50638388
SUCBZS	546.648492
GMHEPPA	394.5374675
NI2t3pp	846.737851
MPTSS	693.9586503
UHGADA	486.6416127
HISTD	136.7869672
CPGNR1	345.1566134
CPGNR2	624.1966064
CPGNR3	694.7587838
BWCOGDS1	340.964403
NO2tex	363.0655616
FEOXAMabcpp	974.6792444
GTPCII2	838.0811225
GART	921.1440226
TREHpp	670.9991559
PLIPA1E181pp	797.3931466
NTPP5	804.3148951
AGM4Pt2pp	4.850818158
MNtex	912.6995259
DCYTt2pp	384.4784328
PA140abcpp	644.7050652
CDAPPA181	365.4517941
CFAS180G	650.9563021
DSERt2pp	189.2993885
APG3PAT141	22.8292323
CTBTt2rpp	460.3950712
PSERT	555.1675269
DXPS	11.7562031
MNt2pp	463.0494241
ACPS1	16.71073863
OPMEACPS	688.9162924
TDPADGAT	530.2987258
CYTDtex	987.4635178
CYTDt2pp	38.35029747
CRNDCAL2	567.6961956
3OAR120	763.5403716
FRUptspp	568.7381581
PAPA160pp	255.4935672
PDE1	337.3769826
PDE4	324.7182823
UACMAMO	39.02030793
VALTA	902.1224952
RNDR3	513.4685348
HOPNTAL	487.4022469
PLIPA2G140pp	951.2626875
ETHSO3abcpp	528.1894943
GUR1PPpp	860.5155039
AMAOTr	249.1644306
GAL1Ptex	552.507489
SSALx	357.8035047
LYXI	933.8120734
OXCOAHDH	656.285627
GLYC3Pabcpp	255.4993254
DSERtex	739.3395172
DSERDHr	157.2899322
LPADSS	22.9298634
PPM	514.5232187
2AGPEAT161	869.3870113
NTD2	489.4576587
NTD2pp	373.1017357
CYSabcpp	96.95868182
SPMDAT1	735.2564992
NTPP6	654.2367213
2AGPEAT180	806.4233137
GALCTND	750.6262852
DHPTDNRN	463.4469552
UREAtex	763.3572362
CSNt2pp	1.162741416
EAR161y	661.988428
H2Otpp	600.4838587
UAGPT3	508.0735357
PGSA160	182.5923679
PRFGS	835.9326179
MDDEP3pp	195.8322345
CPH4S	843.2457781
RMNtpp	870.6023304
DKGLCNR2y	156.1526464
FRUpts2pp	953.9170418
GLCP	389.1786595
GLCP2	509.1774952
DHPTPE	529.0805705
NTPP9	544.9106712
N2Otex	483.5143261
ACONIs	430.7573948
GLUDy	304.6861634
PPCK	482.7604317
HEPT4	130.6640161
I2FE2SR	179.1285599
ALLTN	762.775746
ADNtex	584.1151417
GALCTD	353.0581292
DMStex	978.6284733
TUNGStex	488.1509425
BETALDHx	805.4689619
BETALDHy	606.7576855
CDPMEK	221.5010763
EGMEACPR	335.5505939
CGLYtex	828.3343842
3OAS60	511.8053393
ALAALAtex	509.6774176
FE2t2pp	369.4034643
DAPDC	210.4692373
PGPP120pp	286.2992008
PGPP140pp	309.2813689
XPPT	5.154082979
OCTDPS	43.30942764
MG2tpp	564.7915843
GLYBt2pp	263.9620762
IDOND	158.0938174
PHYTSpp	379.2572545
GMPR	796.3142308
GLCATr	524.7336042
THMtex	506.1371771
IDONtex	962.0749672
NI2uabcpp	349.3692449
SLNTtex	976.3388139
ATHRDHr	117.3647678
CDGS	961.4959522
ALLabcpp	743.6288865
CRNabcpp	458.3799397
MDH	632.4726315
ASP1DC	672.1278875
PMDPHT	148.8828692
ACOAD2f	974.1727337
5DOAN	404.97673
FE3DHBZR	597.7371105
CU1abcpp	231.0542587
HISt2rpp	239.1204415
PLIPA1E160pp	337.3484307
CRNt7pp	737.8150276
DDGLCNtex	563.1443096
HEX1	860.5144969
MCITD	832.5690471
FDH5pp	933.8804777
CYSTRS	659.2604052
GALURt2rpp	916.9951327
DMSOR2	590.308423
PPAKr	664.7110059
GLBRAN2	792.0424194
G3PSabcpp	739.1763229
MEOHtrpp	882.6598303
TUNGSabcpp	607.0571422
PSCVT	434.1346607
12DGR141tipp	620.8258731
3HPPPNH	597.2146485
LIPACabcpp	545.9280549
TAURtex	305.5620277
THIORDXi	886.2535464
PLIPA1G161pp	358.527508
ALLtex	607.7593346
INOSTt4pp	558.9939389
3OAS140	46.09258521
ADEtex	68.91362081
DHDPS	760.03767
OPHHX	768.7706773
LYSDC	496.7717662
ATPS4rpp	339.3993973
FE3DHBZStonex	247.5112287
LIPAHTex	38.05099193
ACGAMK	181.028182
NNDPR	471.9925369
DSBCGT	637.0030323
MLTG2	363.5049214
PPTHpp	673.2949481
GLCt2pp	807.9717409
SUCTARTtpp	670.4080617
PPPGO	40.18312109
PGPP180pp	379.9924945
GLYt2rpp	489.0961806
GALCTtex	95.38368752
PLIPA2G161pp	673.7742393
NMNPtpp	322.8492651
BTNt2ipp	659.5082358
G3PEtex	997.294903
AM3PA	638.7780368
GTHOXtex	20.37898576
URIC	484.0580964
AICART	768.3340152
GLYC2Ptex	618.3623519
PYNP2r	176.1374051
ECAP1pp	71.51255631
ECAP2pp	899.5077851
ECAP3pp	708.2681671
MNLptspp	300.2031152
ACNML	279.8975728
NDPK1	13.59979856
NNAM	927.8543283
PRAMPC	71.10184521
FECRMabcpp	349.5583528
EPMEACPR	453.0197306
MOBDabcpp	341.4534215
DCYTD	363.8547663
ACPPAT141	819.841528
AMANAPEr	513.7346713
CLtex	277.169896
ILETRS	785.3363495
GUI2	556.5350119
TYRPtex	154.0103032
RNDR4	348.5267369
PE160abcpp	557.1383864
HACD7	956.7384777
AADDGT	255.5551526
PLIPA1A180pp	826.1267585
GLYt4pp	43.02032999
23PDE7pp	866.1616842
NTRIR4pp	990.5896339
FDMO2	363.5504206
DHQTi	426.2114417
MALt2_3pp	261.0539019
EDA	354.5084592
PPC	189.6829111
FDMO3	851.2743007
PUNP6	656.128237
MOAT3C	534.5828346
NTPP7	421.8789669
3KGK	866.5429139
AGM4PH	592.9478708
ACACT8r	769.9585479
PA181abcpp	603.1118334
ALAt2rpp	56.28719779
ACGAL1PPpp	211.8494603
CS	438.0718083
PAPSR	214.897715
LPLIPAL1G180pp	642.983225
FFSD	537.0809474
GP4GH	784.6384441
FE2t3pp	293.7967408
MTHFC	115.5715596
NTPP8	132.4736822
GALT1	762.7333554
DURIt2pp	166.9844584
F6PP	946.2941352
RFAMPtpp	755.6273077
CPPPGO	803.9976331
DKGLCNR2x	161.285163
FACOAE140	269.8473726
MDH3	72.21572951
AP4AS	884.7007984
Ktex	269.025959
CMPN	332.7840931
METSOX2tex	268.2118981
PLIPA1G180pp	20.18152993
GLYALDtpp	817.7945982
HISTP	599.340562
ENO	5.034919023
DHPTDCs2	875.8800529
PPALtex	176.0995951
GLYOX3	481.1235458
TDPDRE	11.80392083
DAGK161	63.54357121
ECA4OALpp	980.4873171
PRPPS	888.0412911
CITL	723.2393005
SHSL1	864.0556656
MAN6Ptex	528.1689899
PYDAMtpp	91.32425893
ARGt3pp	995.5220532
PFL	135.5962012
APPLDHr	376.8111074
RBP4E	40.39080965
TYROXDApp	94.11964546
PPCDC	708.5973772
THRabcpp	315.9979719
ACONTb	7.285371927
MLTP3	595.0838418
AIRC3	629.1378257
FRULYSt2pp	345.5819342
XYLI1	760.3634217
XYLI2	273.1178816
KARA1	563.3776254
METAT	24.91211619
CDAPPA180	530.4427123
ZN2t3pp	998.3496307
23PDE4pp	483.5382777
UGLCURPpp	728.9813464
CTPS2	881.0290957
UDPGALM	328.8735439
AGM3PH	991.0569148
MALTtexi	860.5350997
HACD2	11.84704459
ARGSL	969.0068774
WCOS	157.9171867
HSK	952.345679
UMPtex	443.6194042
FA100ACPHi	237.2045858
FA120ACPHi	97.01617086
FA140ACPHi	205.7497852
FA141ACPHi	907.6375449
FA160ACPHi	851.9778122
FA161ACPHi	511.3864805
FA80ACPHi	67.95838399
ACACT4r	190.4710752
ACNAMtex	163.7680233
ASNTRS	395.3011963
N2Otpp	224.3523717
ACPPAT181	161.3197862
PLIPA2A141pp	751.11746
OXCDC	88.36397807
ADCL	687.1096175
ACALD	422.4519508
METOX2s	788.8795269
DRPA	580.4489621
FEROpp	989.3186586
PLIPA1A140pp	553.8582086
FE3HOXexs	762.141836
URItex	562.0200887
HPPK2	498.7679372
ACOAD6f	552.3842716
3OAR161	343.6622528
PHEt2rpp	878.2900432
PPK2r	256.7444847
PPKr	29.54152494
PLIPA1E120pp	27.91245626
MALt3pp	788.0434456
PGPP181	125.183411
CBPS	330.2881252
PAPA140pp	826.6881393
NOtex	348.7350687
PHEMEabcpp	576.9923587
GLYCLTt2rpp	688.7227905
TMAOR2	509.7108591
PLIPA1G120pp	0.950557577
MMM	38.65617283
ASPO3	694.5734497
ASPO4	477.3183003
ASPO5	474.0291874
ASPO6	101.8568603
CLPNS120pp	342.9879907
ANHGMtex	997.8724307
PPND	10.60763547
G3PItex	92.35663683
UPLA4FNF	702.7707378
HDCAtexi	220.4726758
PLIPA1E140pp	722.2932407
NTD6	627.6802576
NTD6pp	442.2745043
EAR140y	516.6896266
PDH	262.1668107
ALAR	50.97316012
2AGPE180tipp	157.6192608
S2FE2ST	266.2121881
ACt4pp	378.397177
FRD2	321.8768271
FRD3	457.6629792
ACtex	171.5471336
ARBTNR1	832.4787996
ARBTNR2	369.6673241
ARBTNR3	790.5645378
GLYCK	318.1369476
GLYCK2	31.65720771
SELtpp	507.1831142
ALLPI	874.8413378
CYStpp	216.927258
NAMNPP	610.8112244
LYXtex	275.880641
NDPK4	265.4222724
NO3R1bpp	957.8257149
3CMPtex	794.6549252
ORNDC	562.9478412
ALPATG160pp	750.8889632
MINCYCtpp	393.7940504
FACOAL180t2pp	752.6340117
GLUabcpp	709.4736472
FE3DCITabcpp	858.0526455
ADMDC	408.848718
GTHRDHpp	915.0622283
AGPR	869.013038
NTPP10	97.9296717
CPGNtonex	372.6983053
URAt2rpp	937.5813295
4PCPpp	993.3134658
ECOAH5	805.9899766
MDDCP5pp	289.1630848
ADNt2pp	793.419479
GLGC	723.8452665
ALAt4pp	659.5413501
GALBDtex	802.2459279
LPLIPAL1G120pp	426.7228284
GLUTRR	317.5255775
EAR160x	646.1738088
DPR	349.3335054
CHRPL	84.28463605
DSBAO1	493.3997746
ENTCS	982.3059773
AMPMS2	661.4731256
AGPAT141	76.05420312
HEX4	924.7520157
GTHS	955.5483322
COBALT2tex	655.2957519
MANptspp	426.6141918
CYTD	599.591513
HCO3E	343.7964848
PETNT161pp	475.5190743
PETNT181pp	84.24575305
PTAr	343.0516714
2AGPA160tipp	801.8476091
MALTTRtexi	760.4789782
FCLPA	629.3204594
NDPK2	942.4484931
GLYCAt2rpp	454.941255
DDGLK	451.2224733
LGTHL	291.2057127
SUCDi	97.22710941
ETHAAL	949.0650226
GPDDA4	454.7338819
GPDDA4pp	687.1816892
ALDD4	298.1039228
UM4PCP	122.6228186
NNDMBRT	962.6584918
UAGDP	499.7621366
GLYCLTDx	894.8310384
BTS5	879.3104077
FACOAE80	531.0010511
SO2tpp	600.5132754
XYLK	243.8700538
G3PEabcpp	165.4849788
G3PIabcpp	259.5944513
USHD	4.60128727
CHORM	744.1032229
AMMQLT8	961.0818078
PPNDH	879.3902619
LPLIPAL1A161pp	12.9194742
CLPNS160pp	888.2596636
HOMt2pp	876.3918333
CRNtex	772.9530356
ASNtex	128.9800864
ASNS1	185.4206061
AHCYSNS	40.82551306
SARCOX	357.8058524
CU2tex	985.1791019
SO4tex	173.8086875
NADH17pp	527.946011
DHCIND	891.3841314
FOMETRi	608.8269318
FBA3	903.8012757
ADPT	526.875392
NTD4	305.2956902
NTD4pp	235.1162439
EAR40x	801.2933654
LPLIPAL1E160pp	761.2169781
G3PGtex	538.1171609
GLYC3Pt6pp	15.26190658
HXAtex	643.9399367
2AGPA140tipp	150.1345803
FE2tpp	614.48998
FE3HOXabcpp	352.6586008
AGDC	231.3853467
COLIPAabctex	245.0681335
AGMHE	734.7365994
AST	935.9977931
GLUCYS	89.96733757
CSND	869.5824814
ALDD3y	476.6186759
UACGALPpp	594.2566807
FEENTERexs	579.8645045
HACD8	635.1738279
TRE6PP	81.33436014
DHORDfum	81.52226192
BUTt2rpp	772.6130997
PDXPP	805.2630447
3OAR141	512.3401324
UAMAGS	745.6633823
4PEPTabcpp	129.9647116
G3PD7	972.0114129
3HAD160	297.5761152
ECOAH4	460.5536302
ATPM	813.9454441
MANAO	44.97562503
GALCTLO	567.1809718
GLUABUTt7pp	162.8570546
SULRi	910.7380146
NTP1	546.3023961
GPDDA2	144.5958724
GPDDA2pp	544.4119523
PSSA180	656.0427591
GK1	659.0286922
SPODM	464.3013986
SPODMpp	462.105666
34dhpactex	554.331872
ACOAD8f	573.6864503
G3PAT140	939.4863501
MALtex	181.6453699
O16GLCT1	697.0692529
TDPAGTA	674.0999992
PE120abcpp	968.9380671
DHAtpp	937.4558576
OPHHX3	59.24597246
PLIPA2A180pp	443.4953481
S2FE2SR	228.2167544
METS	820.8841844
GAMtex	805.3638636
NTD12	629.665848
UM3PL	434.62142
LSERDHr	661.8936987
SKMt2pp	811.4644677
DGK1	11.40462165
GPDDA1	489.9465183
GPDDA1pp	163.6053372
APG3PAT161	132.244171
AGM4PA	12.48340022
PSSA160	60.97450414
2DGULRGy	830.7977653
CRNCAR	258.9345008
DADNtex	458.9644219
RIBtex	168.6455917
FCLT	233.8338258
TDSK	945.5173311
METSOXR2	738.3546291
DB4PS	532.8283415
K2L4Aabcpp	640.176
CLPNS161pp	622.1165416
PSSA181	758.454269
DURIPP	225.7240495
LALALGLUtpp	216.5140802
ThDPAT	31.58038222
PA120abcpp	376.2082651
RHCCE	703.1585948
LACZ	317.4135306
LACZpp	319.3176614
UDPACGALtex	771.2292801
SBTPD	597.5787845
3HAD141	3.0016664
PGP141abcpp	271.0665724
G6Pt6_2pp	512.8712871
CPMPS	373.8381117
HSST	158.7093062
L-LACt2rpp	982.2409358
CLPNS180pp	373.822783
PSD140	369.8116133
NDPK3	189.8696422
TMPPP	784.9773226
PAPA160	994.8544364
INSt2rpp	519.8493688
TYRt2rpp	231.1689247
PUNP2	742.735572
MANGLYCtex	682.2626696
ACODA	600.342182
GTHRDtex	487.0999118
CBL1tonex	719.0714981
PRASCSi	499.7314222
DAPAL	239.9133675
GSPMDA	5.848419481
42A12BOOXpp	523.5698272
FESD2s	234.7113777
DM_OXAM	250.1849687
3HAD121	917.3945444
QUIN2tex	905.5774267
ACCOAC	643.8294381
APG3PAT160	718.7084673
URACPAH	760.5153432
UDPKAAT	109.8283059
LPLIPAL2A141	549.2669798
IMPC	731.5110932
EAR181x	725.1704158
ECOAH8	396.5202647
CINNDO	437.6391613
MEPCT	76.00792505
SHK3Dr	699.2831901
2AGPE140tipp	614.0194658
MAN6PI	850.1696907
PGSA120	96.12547804
ALPATE160pp	192.0207053
NADTRHD	177.2028528
IPDDI	504.968194
VALt2rpp	520.0617294
MPTS	286.646057
M1PD	949.1544634
GLCTR3	400.6617473
DCTPD	44.69641539
PSSA120	194.2133702
DXPRIi	928.135835
NMNN	216.7261852
CITt3pp	977.481095
MDDCP3pp	825.5512503
O16AP1pp	217.8124764
O16AP2pp	29.86768342
O16AP3pp	400.6850283
MALTTTRabcpp	494.4976128
DHPTDNR	877.6852036
PRAGSr	636.9856324
O2Stex	808.0826015
PGPP160	354.4492658
METtex	252.6610876
PYAM5PO	725.5326418
5DGLCNt2rpp	37.76409605
UACGAMPpp	766.9130857
NADDP	238.3795588
PNTOtex	862.0149105
DASYN160	535.5929436
FORCT	458.8911784
ALCD19	209.6610782
COBALT2abcpp	52.82635646
MLDCP3App	282.366876
PLIPA2E141pp	277.2687448
AGPAT181	209.3335415
CHTBSptspp	276.7817311
PROGLYtex	758.657106
CRNt2rpp	315.5235149
OCBT	572.4059395
PPPNt2rpp	690.1377172
TYRL	861.2762644
FACOAL100t2pp	838.5284722
ARGDC	143.3950448
ARGDCpp	802.974481
ACLS	411.1463255
MLDCP1App	657.5687711
LYSt3pp	52.79131785
CCGS	626.2801381
SELNPS	24.01295317
TGBPA	165.3370234
3OAS121	233.3980619
MN6PP	867.9462948
SPMDAT2	11.22324615
GLYCTO2	690.2232046
GLYCTO3	975.1772873
GLYCTO4	1.726695709
GLUDC	817.9755748
GTHPi	477.7353485
LALADGLUtpp	840.867893
12DGR180tipp	997.7166084
DHAPT	673.8947248
GLYK	548.3141275
UAPGR	585.9743529
PA180abcpp	261.3157719
3HAD180	61.69125423
CTECOAI6	819.8605088
CTECOAI7	137.6561916
CTECOAI8	441.3203272
3OAS120	580.4707827
XYLtex	577.4314645
PLIPA2G181pp	439.1791567
URDGLYCD	80.40744729
FEENTERtex	398.2238198
2DGULRy	703.7522658
GUAt2pp	84.18358176
LCARS	215.6552161
PA160abcpp	636.6251436
NADH5	61.10423307
PSD120	370.3097754
FECRMtonex	721.7726687
INDOLEtex	344.8722413
IPPMIa	21.10663725
ASPCT	361.4509715
DURADx	908.5814422
GDPtex	64.34582862
TRE6PS	939.2389307
ACALDtex	192.8619092
CYSDabcpp	941.4245412
PG180abcpp	659.8880315
PSCLYStex	75.58671577
UAGCVT	93.87555837
ASPt2pp	26.7931165
MACPD	668.8973028
THRD	427.0614918
LCARR	339.0796531
DTMPK	332.8490142
LPLIPAL1G141pp	654.2685436
NDPK6	996.9285171
2AGPGAT140	417.5835591
THDPS	228.2853309
CRNDabcpp	234.9680788
FACOAE120	285.7309955
CBIuabcpp	185.7233304
CITt7pp	56.16004212
THMDt2pp	635.2655412
3OAR160	121.0177377
P5CR	539.683475
X5PL3E	509.2608899
AM4PCP	89.47049774
ACSERtpp	31.71642937
NTP5	391.0781256
FRUK	723.3438145
DHNAOT4	563.2349067
TSULtex	8.291601471
SGSAD	184.0823612
TRPS1	759.8895499
TRPS3	978.4219248
NADH16pp	259.0886714
NMNt7pp	739.5810051
BSORx	516.1163351
BSORy	603.8909041
MCPST	804.6687478
FE3DCITtonex	291.1061303
SERD_L	458.9310872
CAT	899.57746
G3PAT161	481.2020744
2AGPE120tipp	935.643353
NAt3_1p5pp	601.1109772
CYSDDS	293.497262
PLIPA1A181pp	952.2564206
UDPGPpp	746.9791741
DHNCOAS	976.3434637
O16GLCT2	387.5462478
HPYRI	418.2685113
RBK_L1	893.2878379
DOXRBCNtex	498.8376806
PLIPA1E180pp	688.9073864
SULabcpp	364.4413656
EAR40y	24.38920944
MECDPS	969.0367081
PYDXK	273.9790818
PTRCt2pp	376.8358525
LDH_D	16.51676796
LDH_D2	665.3701058
UGMDDS	712.481538
BMOGDS2	423.5394392
PLIPA2E160pp	726.5094149
DDPGALA	599.0594453
INSH	998.3165038
UPLA4FNT	229.3117789
RBFSa	239.6281449
RBFSb	164.7948024
MCTP1App	986.5357768
MCTP2App	669.6575465
AKGtex	445.7397621
XTSNtex	582.6334345
L-LACtex	655.0317512
PGLYCP	868.6375917
FEENTERR1	282.7728711
FEENTERR2	657.5639077
FEENTERR3	939.9390348
TRE6PH	394.1221461
VALtex	221.7851518
SPMDabcpp	287.8536872
AIRC2	395.5454808
CYNTt2pp	493.5096836
LALDO2x	54.00068853
ICHORSi	629.9228198
P5CD	165.7952167
GMAND	315.9954306
ICDHyr	299.063094
TDSR2	876.0841983
XYLt2pp	407.6853434
VALabcpp	736.0043466
2AGPGAT141	813.1323538
FRUURt2rpp	693.6697859
ACGAM1Ptex	527.3413489
TREptspp	175.4557813
3OAR40	972.2069391
GTHOr	216.7172737
GLUPRT	137.0643208
HKNTDH	377.9764789
PSP_Lpp	131.4286075
CLPNH181pp	750.4102582
HACD5	340.8862238
KDOPS	602.401868
2AGPEAT120	543.1618455
PE180abcpp	143.8252146
APG3PAT180	509.9758185
ORNabcpp	828.020673
PLIPA2E180pp	592.1689046
NO3R2bpp	203.5610458
NO3R2pp	282.1172796
G3PAT180	880.6475892
GLYALDtex	779.8812809
CRNt8pp	63.34665335
GLCUR1Ptex	866.1756892
FRULYSE	461.331033
TARTRt7pp	234.220927
UDPGDC	707.6143264
GDPTPDP	718.8139881
G1Ptex	512.6136771
APH120	502.843803
THRtex	197.6987099
MPTG2	122.980614
THRt2rpp	40.98075473
SDPDS	897.9074472
XTSNH	107.0007875
GAMAN6Ptex	946.6086556
CPGNabcpp	720.9186686
CRNBTCT	147.9457855
DAPabcpp	915.9939022
ATPHs	475.9521478
SEPHCHCS	846.1132348
IGPS	68.31272073
UDPGtex	991.8577563
METabcpp	111.5692904
CLPNS140pp	982.1665475
AGPAT180	164.3130992
FE2abcpp	768.798017
GLCNt2rpp	245.8200167
GMHEPK	563.8103874
GLU5K	839.9683361
MLTP2	680.4081554
GAM6Pt6_2pp	907.7258245
PSSA140	67.16206943
PSD161	625.5186706
TPI	470.888447
HYD3pp	207.9803753
OCTAtex	368.5438783
G3PCabcpp	171.0524022
ASPt2rpp	624.4018393
PLIPA2A140pp	368.0630433
PYDAMK	840.6602497
GLYCLTt4pp	5.050999781
HG2abcpp	201.6254916
THRPtex	399.688123
CO2tpp	303.6335809
MALTptspp	480.9088979
DKGLCNR1	495.3639412
HSTPT	730.6310579
DHMPTR	739.0657016
AGMH	942.1875477
ILEtex	578.1673476
ACM6PH	586.4604356
MALTTRabcpp	609.0412427
SUCptspp	928.9214871
GLYC3Ptex	258.5828874
PAPA141pp	698.1435785
DM_AMOB	440.0213154
GLYC2Pabcpp	164.6351647
PAPA120	547.2252264
LEUt2rpp	170.589404
SELGTHR2	85.35011468
MELIBt3ipp	55.86317401
METSOX1abcpp	797.0835219
ACOATA	339.9529544
FCLK	111.3909617
2AGPGAT161	104.7544514
ACMUMptspp	136.6780572
MECDPDH5	756.8547688
TYRTRS	229.7330549
FE3HOXUtex	445.3630159
PGAMT	749.5445713
AACPS1	297.4801231
PSSA141	975.6205528
NTPTP1	688.4878314
NTPTP2	830.3762824
LCTStpp	5.953732575
NADPPPS	173.0428475
CYTDt2rpp	825.5783116
FACOAL161t2pp	105.6665089
DGSNtex	947.4392143
GLYCDx	347.1501919
NTD7	227.2183964
NTD7pp	957.3406297
O2tex	551.6376499
PGCD	793.9746305
G6Ptex	151.9459192
LCTStex	180.6386922
PTHRpp	142.9849583
OMCDC	226.5728645
XYLUt2pp	833.1289615
CPPPGO2	824.3568321
HISabcpp	184.97267
AMALT3	59.83154976
NO3tex	433.1716976
3HAD161	111.9503872
PYK	186.3986018
CU1Opp	397.4128114
