metabolite,concentration
akg_c,5.35E-02
3mob_c,1.96E-01
prpp_c,1.66E-01
6pgl_c,5.26E-02
accoa_c,3.40E-01
adp_c,4.83E-02
r5p_c,2.55E-02
amp_c,7.35E-03
atp_c,4.82E-01
cdp_c,1.58E-02
cmp_c,1.39E-03
coa_c,3.64E-01
ctp_c,6.25E-02
datp_c,4.44E-02
dctp_c,2.41E-02
fdp_c,4.69E+00
f1p_c,2.42E-01
f6p_c,3.62E-01
dgdp_c,4.31E-03
gam6p_c,5.56E-02
g6p_c,8.50E-01
ru5p__D_c,6.71E-02
dtdpglu_c,1.65E-02
dttp_c,3.40E-02
dump_c,2.43E-05
gdp_c,4.50E-02
gtp_c,1.19E-01
imp_c,1.21E-02
itp_c,1.17E-02
asp__L_c,1.46E-01
citr__L_c,1.38E-02
glu__L_c,6.69E+00
gln__L_c,1.33E+00
phe__L_c,1.76E-02
ser__L_c,1.23E-01
thr__L_c,3.96E-01
trp__L_c,1.46E-02
nadh_c,2.07E-01
nad_c,5.84E-01
nadph_c,3.75E-01
nadp_c,4.29E-02
gthox_c,4.06E-01
pep_c,1.26E-01
gthrd_c,1.25E+00
udp_c,1.43E-02
ump_c,2.64E-02
utp_c,1.30E-01
