,aerobic,anaerobic
b0001,4895.513333333333,8567.383333333333
b0002,1600.4766666666667,2327.31
b0003,1201.8733333333332,2042.08
b0004,1417.1033333333332,1669.08
b0005,129.3859666666667,137.55833333333337
b0006,167.596,87.91546666666666
b0007,17.4579,42.3508
b0008,1981.5566666666666,1595.3733333333332
b0009,79.04456666666668,80.30723333333333
b0010,83.63600000000001,123.70300000000002
b0011,8.682003333333334,12.061373333333334
b0013,2.6844366666666666,1.0796733333333333
b0014,1838.8733333333332,1669.1499999999999
b0015,383.17800000000005,376.1746666666666
b0016,95.71966666666667,79.2777
b0018,23.921566666666667,18.784966666666666
b0019,120.979,123.9654
b0020,97.66863333333333,95.58093333333333
b0021,5.878126666666667,14.025833333333333
b0022,34.1762,50.03256666666667
b0023,10357.233333333334,6121.389999999999
b0024,22.593133333333338,25.790900000000004
b0025,439.15866666666665,513.8473333333333
b0026,725.656,933.8186666666667
b0027,397.89033333333333,591.3233333333334
b0028,308.30266666666665,349.127
b0029,251.455,231.75699999999998
b0030,25.03803333333333,16.6695
b0031,368.35966666666667,297.853
b0032,1910.0166666666667,254.169
b0033,1508.36,272.69666666666666
b0034,91.08223333333335,621.4153333333334
b0035,2.3886266666666667,5.003816666666666
b0036,3.376376666666667,2.2375633333333336
b0037,10.070373333333334,19.3056
b0038,12.640273333333333,20.700333333333333
b0039,21.479733333333332,39.461533333333335
b0040,0.9255353333333334,2.028303333333333
b0041,1.3244333333333334,2.8426519999999997
b0042,1.5175660000000002,3.1401900000000005
b0043,1.9602133333333331,5.895403333333333
b0044,0.3452866666666667,1.5715633333333334
b0045,0.9884726666666667,6.041566666666665
b0046,42.79413333333333,48.12036666666666
b0047,40.13786666666667,41.60523333333334
b0048,146.327,86.69839999999999
b0049,130.87466666666668,165.04099999999997
b0050,340.18233333333336,298.106
b0051,379.4703333333334,326.1406666666667
b0052,228.707,248.33133333333333
b0053,637.322,663.7596666666667
b0054,636.196,613.8936666666667
b0055,76.32316666666667,122.657
b0058,74.75916666666666,46.938266666666664
b0059,108.72466666666666,57.490199999999994
b0060,26.5616,30.4264
b0061,2.3131633333333332,5.057346666666667
b0062,5.40219,12.710623333333332
b0063,3.2902233333333335,5.030363333333334
b0064,68.10353333333335,25.229833333333332
b0065,35.36306666666667,43.5217
b0066,50.05350000000001,48.84176666666667
b0067,43.7072,42.5621
b0068,210.64,125.101
b0069,34.1181,64.11376666666666
b0070,33.2404,55.06576666666666
b0071,1498.47,1126.3466666666666
b0072,1356.5,1209.07
b0073,1539.8766666666668,1492.9566666666667
b0074,998.9246666666667,857.3963333333332
b0075,3394.5333333333333,2127.016666666667
b0076,12.254166666666668,20.261499999999998
b0077,415.0183333333334,432.84366666666665
b0078,444.37266666666665,516.9363333333334
b0080,231.80866666666668,477.83200000000005
b0081,238.68933333333334,202.34766666666667
b0082,259.474,281.0303333333333
b0083,216.79100000000003,219.592
b0084,238.79999999999998,348.3256666666667
b0085,237.48666666666668,279.298
b0086,221.745,243.84099999999998
b0087,196.15166666666664,237.37433333333334
b0088,228.44699999999997,216.04466666666667
b0089,139.99866666666665,148.00900000000001
b0090,144.823,184.75433333333334
b0091,265.1286666666667,280.86100000000005
b0092,335.508,338.1286666666667
b0093,229.09133333333332,237.05033333333336
b0094,249.30566666666667,236.67233333333334
b0095,1040.4633333333334,950.5756666666666
b0096,1881.5966666666666,1701.0966666666666
b0097,278.696,400.451
b0098,307.62300000000005,387.80199999999996
b0099,30.465533333333337,41.73356666666667
b0101,221.57033333333334,492.2953333333333
b0102,188.56566666666666,188.751
b0103,137.938,170.6046666666667
b0104,553.2386666666666,279.0946666666667
b0106,6.8193366666666675,16.478863333333333
b0107,8.632823333333333,15.314599999999999
b0108,0.0,0.31761766666666663
b0109,134.90733333333333,197.56500000000003
b0110,78.02983333333334,99.56993333333334
b0111,58.92183333333333,86.79729999999999
b0112,1050.7633333333333,883.6199999999999
b0113,340.0756666666667,147.263
b0114,2064.9266666666667,888.5066666666667
b0115,1319.7366666666667,648.9706666666667
b0116,2005.5366666666669,569.7396666666667
b0117,2.1395433333333336,5.313666666666667
b0118,1638.8999999999999,229.2793333333333
b0119,75.5898,69.5569
b0120,920.3313333333332,378.25833333333327
b0121,703.052,292.996
b0122,157.386,270.78633333333335
b0123,270.5496666666666,56.05296666666666
b0124,266.0733333333333,17.848
b0125,497.9086666666667,549.536
b0126,1445.5199999999998,318.915
b0127,138.644,203.004
b0128,122.27066666666667,180.13940000000002
b0129,29.9928,68.2197
b0130,24.220233333333336,35.713033333333335
b0131,1169.0666666666666,1164.4033333333334
b0132,7.92574,11.246009999999998
b0133,667.7406666666667,875.8966666666666
b0134,466.4386666666666,856.6173333333332
b0135,7.33083,7.023703333333334
b0136,4.694163333333333,3.6693266666666666
b0137,4.862253333333334,2.5210500000000002
b0138,9.432260000000001,4.66659
b0139,4.2328133333333335,8.544383333333334
b0140,0.8949199999999999,0.240742
b0141,1.5231533333333334,0.4321566666666667
b0142,157.342,131.83486666666667
