reaction,value
CSND,h_c + h2o_c + csn_c --> nh4_c + ura_c
ADNt2pp,h_p + adn_p --> h_c + adn_c
GTPDPDP,gdptp_c + h2o_c --> h_c + ppgpp_c + pi_c
EX_tym_e,tym_e --> 
EX_xan_e,xan_e --> 
NTD10,xmp_c + h2o_c --> pi_c + xtsn_c
NTD11,imp_c + h2o_c --> ins_c + pi_c
NTD12,h2o_c + dimp_c --> pi_c + din_c
PMEACPE,pmeACP_c + h2o_c --> pimACP_c + meoh_c
XTSNH,h2o_c + xtsn_c --> xan_c + rib__D_c
DDPA,e4p_c + pep_c + h2o_c --> pi_c + 2dda7p_c
Htex,h_e <=> h_p
P5CD,nad_c + 1pyr5c_c + 2 h2o_c --> glu__L_c + nadh_c + h_c
2DGULRy,nadph_c + h_c + 2dhguln_c --> idon__L_c + nadp_c
2DGULRx,h_c + nadh_c + 2dhguln_c --> nad_c + idon__L_c
GAMptspp,pep_c + gam_p --> gam6p_c + pyr_c
EX_lac__D_e,lac__D_e --> 
P5CR,nadph_c + 1pyr5c_c + 2 h_c --> pro__L_c + nadp_c
EX_glyclt_e,glyclt_e --> 
EX_dimp_e,dimp_e --> 
GLUTRR,glutrna_c + h_c + nadph_c --> trnaglu_c + glu1sa_c + nadp_c
GLUTRS,trnaglu_c + glu__L_c + atp_c --> amp_c + glutrna_c + ppi_c
ULA4Ntppi,uLa4n_c --> uLa4n_p
EX_peamn_e,peamn_e --> 
MSAR,nadph_c + msa_c + h_c --> 3hpp_c + nadp_c
AGM4Pt2pp,anhgm4p_p + h_p --> anhgm4p_c + h_c
EX_duri_e,duri_e --> 
KAS15,malACP_c + accoa_c + h_c --> co2_c + actACP_c + coa_c
HBZOPT,octdp_c + 4hbz_c --> ppi_c + 3ophb_c
EX_hxa_e,hxa_e --> 
G5SADs,glu5sa_c --> 1pyr5c_c + h2o_c + h_c
ALAALAtex,alaala_e <=> alaala_p
LYStex,lys__L_e <=> lys__L_p
ORNtex,orn_e <=> orn_p
2AGPG141tipp,2agpg141_p --> 2agpg141_c
RHAT1,kphphhlipa_c + dtdprmn_c --> dtdp_c + h_c + icolipa_c
OMMBLHX,0.5 o2_c + 2ommbl_c --> 2omhmbl_c
OMPHHX,0.5 o2_c + 2omph_c --> 2ombzl_c
PANTS,atp_c + pant__R_c + ala__B_c --> h_c + amp_c + pnto__R_c + ppi_c
E4PD,h2o_c + e4p_c + nad_c <=> nadh_c + 2 h_c + 4per_c
PLIPA2A180pp,pa180_p + h2o_p --> ocdca_p + h_p + 1odecg3p_p
SCYSDS,cys__L_c + sufse_c --> sufsesh_c + ala__L_c
EX_ppal_e,ppal_e --> 
EX_pydam_e,pydam_e --> 
TREHpp,tre_p + h2o_p --> 2 glc__D_p
42A12BOOXpp,o2_p + dopa_p + h2o_p --> h2o2_p + 34dhpac_p + nh4_p
ACOAD1f,fad_c + btcoa_c <=> fadh2_c + b2coa_c
ACLS,h_c + 2 pyr_c --> co2_c + alac__S_c
IDONt2rpp,h_p + idon__L_p <=> h_c + idon__L_c
EX_o16a4colipa_e,o16a4colipa_e --> 
EX_urea_e,urea_e --> 
LPLIPAL2ATG120,2agpg120_c + pg120_c --> g3pg_c + apg120_c
GLYCTO3,mqn8_c + glyclt_c --> glx_c + mql8_c
GLYCTO2,q8_c + glyclt_c --> glx_c + q8h2_c
LALADGLUtpp,LalaDglu_p + h_p --> LalaDglu_c + h_c
LYXt2pp,h_p + lyx__L_p --> lyx__L_c + h_c
PUNP1,adn_c + pi_c <=> r1p_c + ade_c
2AGPEAT181,atp_c + ocdcea_c + 2agpe181_c --> pe181_c + amp_c + ppi_c
2AGPEAT180,atp_c + ocdca_c + 2agpe180_c --> pe180_c + amp_c + ppi_c
PUNP3,pi_c + gsn_c <=> r1p_c + gua_c
DAPAL,h2o_c + 23dappa_c --> pyr_c + 2 nh4_c
ARBTNtex,arbtn_p + h_p --> arbtn_e + h_c
PAPA181pp,h2o_p + pa181_p --> 12dgr181_p + pi_p
COBALT2abcpp,cobalt2_c + h2o_c + atp_c --> h_c + pi_c + adp_c + cobalt2_p
CYTBO3_4pp,4 h_c + q8h2_c + 0.5 o2_c --> h2o_c + 4 h_p + q8_c
EX_no_e,no_e --> 
UMPtex,ump_e <=> ump_p
GALCTt2rpp,galct__D_p + h_p <=> galct__D_c + h_c
MN2t3pp,h_p + mn2_c --> h_c + mn2_p
LPLIPAL2G140,2agpg140_c + h2o_c --> ttdca_c + g3pg_c + h_c
LPLIPAL2G141,2agpg141_c + h2o_c --> h_c + g3pg_c + ttdcea_c
MTRPOX,h2o_c + o2_c + Nmtrp_c --> h2o2_c + fald_c + trp__L_c
ADSL2r,25aics_c <=> fum_c + aicar_c
DSERt2pp,h_p + ser__D_p --> h_c + ser__D_c
ACONIs,acon__T_c <=> acon__C_c
UAGPT3,uagmda_c + uacgam_c --> h_c + uaagmda_c + udp_c
HCINNMtex,3hcinnm_e <=> 3hcinnm_p
ASPTA,asp__L_c + akg_c <=> glu__L_c + oaa_c
GART,for_c + gar_c + atp_c --> h_c + pi_c + adp_c + fgam_c
CYSDDS,h2o_c + cys__D_c --> h2s_c + nh4_c + pyr_c
PMPK,atp_c + 4ampm_c --> 2mahmp_c + adp_c
EX_hxan_e,hxan_e --> 
GAMAN6Ptex,gam6p_e <=> gam6p_p
DHCIND,nad_c + cenchddd_c --> dhcinnm_c + nadh_c + h_c
UDCPPtppi,udcpp_p --> udcpp_c
EX_acmum_e,acmum_e --> 
EX_tyr__L_e,tyr__L_e --> 
34dhpactex,34dhpac_e <=> 34dhpac_p
EAR121y,t3c5ddeceACP_c + h_c + nadph_c --> cddec5eACP_c + nadp_c
EAR121x,h_c + nadh_c + t3c5ddeceACP_c --> cddec5eACP_c + nad_c
ALATRS,trnaala_c + ala__L_c + atp_c --> alatrna_c + amp_c + ppi_c
CTBTt2rpp,h_p + ctbt_p <=> h_c + ctbt_c
EX_cpgn__un_e,cpgn__un_e --> 
EX_h2_e,h2_e --> 
UDPACGALtex,udpacgal_e <=> udpacgal_p
INDOLEtex,indole_e <=> indole_p
23DAPPAt2pp,h_p + 23dappa_p --> 23dappa_c + h_c
LEUTAi,glu__L_c + 4mop_c --> leu__L_c + akg_c
EX_tyrp_e,tyrp_e --> 
EX_metsox__S__L_e,metsox__S__L_e --> 
3AMPtex,3amp_e <=> 3amp_p
EX_gthox_e,gthox_e --> 
EX_kdo2lipid4_e,kdo2lipid4_e --> 
FCLT,ppp9_c + fe2_c --> pheme_c + 2 h_c
IPPMIb,2ippm_c + h2o_c <=> 3c3hmp_c
FCLK,fcl__L_c + atp_c --> fc1p_c + h_c + adp_c
MALDDH,nad_c + mal__D_c --> nadh_c + co2_c + pyr_c
PLIPA1A181pp,h2o_p + pa181_p --> 2odec11eg3p_p + ocdcea_p
2AGPG120tipp,2agpg120_p --> 2agpg120_c
KG6PDC,h_c + 3dhgulnp_c --> co2_c + xu5p__L_c
CYNTt2pp,h_p + cynt_p --> cynt_c + h_c
LPLIPAL1A141pp,1tdec7eg3p_p + h2o_p --> h_p + ttdcea_p + glyc3p_p
FACOAL160t2pp,coa_c + h_p + hdca_p + atp_c --> amp_c + pmtcoa_c + h_c + ppi_c
MOHMT,mlthf_c + h2o_c + 3mob_c --> thf_c + 2dhp_c
DHDPS,aspsa_c + pyr_c --> 2 h2o_c + h_c + 23dhdp_c
ACtex,ac_e <=> ac_p
3PEPTabcpp,h2o_c + atp_c + LalaDgluMdap_p --> LalaDgluMdap_c + h_c + pi_c + adp_c
ALATA_D2,ala__D_c + pydx5p_c --> pyam5p_c + pyr_c
CFAS180G,pg181_c + 2 amet_c --> 2 h_c + 2 ahcys_c + cpg180_c
EDA,2ddg6p_c --> pyr_c + g3p_c
EDD,6pgc_c --> h2o_c + 2ddg6p_c
