Molecules
glc-D	1	Y	1497	1134	1477	1164	1554622	D-Glucose
atp	1	N	1583	1214	1563	1214	1554623	ATP
h	1	N	1723	1514	1703	1514	1554624	H+
g6p	1	Y	1713	1609	1746	1625	1554625	D-Glucose 6-phosphate
adp	1	N	1703	1444	1683	1444	1554626	ADP
q8h2	1	N	7348	677	7348	713	1554627	Ubiquinol-8
h	1395100	N	8458	937	8438	937	1554628	H+
no2	1395100	N	8478	867	8448	867	1554629	Nitrite
nh4	1395100	N	8468	1237	8438	1237	1554630	Ammonium
q8	1	N	7378	2257	7378	2223	1554631	Ubiquinone-8
h2o	1395100	N	8478	1177	8454	1177	1554632	H2O
r5p	1	Y	3066	1910	3035	1929	1554633	alpha-D-Ribose 5-phosphate
ru5p-D	1	Y	2898	1627	2864	1625	1554634	D-Ribulose 5-phosphate
12ppd-S	1395100	Y	459	4977	459	4947	1554635	(S)-Propane-1,2-diol
12ppd-S	1	Y	819	4977	819	4947	1554636	(S)-Propane-1,2-diol
cit	1	Y	3514	4371	3486	4389	1554637	Citrate
acon-C	1	Y	3744	4473	3739	4447	1554638	cis-Aconitate
h2o	1	N	3734	4314	3734	4334	1554639	H2O
oaa	1	Y	3159	4128	3180	4103	1554640	Oxaloacetate
h	1	N	2814	4161	2794	4151	1554641	H+
co2	1	N	2494	4181	2494	4161	1554642	CO2
pyr	1	Y	1749	4342	1749	4312	1554643	Pyruvate
nadph	1	N	6339	1447	6359	1447	1554644	Nicotinamide adenine dinucleotide phosphate - reduced
h	1	N	6359	1537	6379	1537	1554645	H+
nadp	1	N	6349	1097	6359	1127	1554646	Nicotinamide adenine dinucleotide phosphate
lac-L	1	Y	1095	4570	1100	4600	1554648	L-Lactate
no3	1	N	7938	1707	7958	1707	1554650	Nitrate
h	1	N	7898	1807	7908	1787	1554651	H+
h	1395100	N	8208	1817	8208	1787	1554652	H+
h2o	1	N	7918	1887	7938	1867	1554653	H2O
no2	1	N	7968	1947	7968	1927	1554654	Nitrite
fum	1395100	N	4939	3565	4939	3539	1554655	Fumarate
succ	1	N	4618	3509	4621	3541	1554656	Succinate
succ	1395100	N	4943	3719	4941	3747	1554657	Succinate
fum	1	N	4623	3762	4621	3732	1554658	Fumarate
succ	1	Y	3954	3211	3944	3240	1554659	Succinate
h	1395100	N	4922	3365	4899	3365	1554660	H+
succ	1395100	Y	5078	3265	5071	3234	1554661	Succinate
h	1	N	4608	3300	4629	3300	1554662	H+
glyc3p	1	Y	6602	3616	6602	3586	1554663	Glycerol 3-phosphate
mqn8	1	N	7017	4061	7017	4041	1554664	Menaquinone 8
dhap	1	Y	6600	3314	6602	3276	1554665	Dihydroxyacetone phosphate
mql8	1	N	7017	2631	7017	2661	1554666	Menaquinol 8
for	3	Y	2184	5894	2154	5894	1554667	Formate
for	1395100	Y	2186	5684	2156	5684	1554668	Formate
mal-L	1	Y	3100	3545	3138	3560	1554669	L-Malate
q8	1	N	3007	3693	3020	3681	1554670	Ubiquinone-8
q8h2	1	N	2995	4017	3013	4017	1554671	Ubiquinol-8
lald-L	1	Y	1070	4957	1100	4947	1554672	L-Lactaldehyde
h	1395100	N	8135	5260	8106	5264	1554677	H+
tmao	1395100	N	8136	5334	8106	5334	1554678	Trimethylamine N-oxide
2dmmql8	1	N	7157	4452	7157	4492	1554679	2-Demethylmenaquinol 8
h2o	1395100	N	8126	5474	8106	5474	1554680	H2O
2dmmq8	1	N	7161	5894	7157	5852	1554681	2-Demethylmenaquinone 8
tma	1395100	N	8131	5554	8106	5554	1554682	trimethylamine
atp	1	N	1844	1980	1826	1975	1554683	ATP
f6p	1	Y	1720	1891	1746	1913	1554684	D-Fructose 6-phosphate
fdp	1	Y	1779	2296	1748	2293	1554685	D-Fructose 1,6-bisphosphate
adp	1	N	1901	2195	1881	2195	1554686	ADP
h	1	N	1848	2242	1828	2242	1554687	H+
etoh	1395100	Y	3884	5684	3854	5684	1554688	Ethanol
h	1395100	N	4024	5604	4004	5604	1554689	H+
etoh	1	Y	3884	5104	3854	5104	1554690	Ethanol
h	1	N	3964	5224	3944	5224	1554691	H+
nadp	1	N	1262	2601	1235	2599	1554692	Nicotinamide adenine dinucleotide phosphate
glyc3p	1	Y	1149	2667	1142	2641	1554693	Glycerol 3-phosphate
h	1	N	1428	2589	1428	2571	1554694	H+
nadph	1	N	1388	2521	1388	2541	1554695	Nicotinamide adenine dinucleotide phosphate - reduced
dhap	1	Y	1521	2671	1519	2641	1554696	Dihydroxyacetone phosphate
amet	1	N	3619	4747	3639	4747	1554697	S-Adenosyl-L-methionine
acon-T	1	Y	3709	4707	3739	4707	1554698	trans-Aconitate
aconm	1	Y	3709	4897	3739	4897	1554699	E-3-carboxy-2-pentenedioate 6-methyl ester
ahcys	1	N	3619	4847	3639	4847	1554700	S-Adenosyl-L-homocysteine
glyc3p	1395100	Y	458	3077	458	3047	1554701	Glycerol 3-phosphate
h2o	1	N	849	3067	829	3067	1554702	H2O
atp	1	N	899	3017	889	3037	1554703	ATP
h	1	N	869	2807	869	2827	1554704	H+
adp	1	N	819	2777	819	2797	1554705	ADP
pi	1	N	919	2837	919	2857	1554706	Phosphate
h	1395100	N	4203	572	4183	572	1554707	H+
adp	1	N	4033	892	4053	892	1554708	ADP
pi	1	N	4103	962	4103	942	1554709	Phosphate
atp	1	N	4333	902	4313	902	1554710	ATP
h2o	1	N	4263	962	4263	942	1554711	H2O
h	1	N	4183	992	4183	972	1554712	H+
2dmmql8	1	N	3424	3098	3426	3072	1554713	2-Demethylmenaquinol 8
fum	1	Y	3340	3260	3364	3287	1554714	Fumarate
2dmmq8	1	N	3954	3092	3944	3071	1554715	2-Demethylmenaquinone 8
lac-L	3	Y	259	4640	259	4600	1554716	L-Lactate
lac-L	1395100	Y	458	4570	458	4600	1554717	L-Lactate
akg	1395100	Y	4989	4031	4977	4001	1554718	2-Oxoglutarate
h	1395100	N	4914	4141	4904	4121	1554719	H+
akg	1	Y	4245	4003	4285	4003	1554720	2-Oxoglutarate
h	1	N	4644	4121	4644	4101	1554721	H+
o2	1	N	7700	1550	7710	1550	1554722	O2
h	1	N	7670	1830	7690	1830	1554723	H+
o2s	1	N	7670	1890	7700	1890	1554724	Superoxide anion
nadp	1	N	2945	3761	2944	3738	1554725	Nicotinamide adenine dinucleotide phosphate
nadph	1	N	2636	3911	2616	3901	1554726	Nicotinamide adenine dinucleotide phosphate - reduced
co2	1	N	2747	3879	2727	3879	1554727	CO2
fum	3	Y	5241	2999	5241	2959	1554728	Fumarate
fum	1395100	Y	5062	2990	5050	2959	1554729	Fumarate
glyc3p	1	Y	6771	5514	6771	5544	1554730	Glycerol 3-phosphate
dhap	1	Y	6771	5294	6771	5254	1554731	Dihydroxyacetone phosphate
nad	1	N	4424	3931	4402	3931	1554732	Nicotinamide adenine dinucleotide
coa	1	N	4426	3879	4402	3879	1554733	Coenzyme A
nadh	1	N	4370	3606	4350	3606	1554734	Nicotinamide adenine dinucleotide - reduced
co2	1	N	4422	3658	4402	3658	1554735	CO2
succoa	1	Y	4311	3567	4265	3568	1554736	Succinyl-CoA
h	1395100	N	4906	3266	4923	3264	1554737	H+
h	1	N	4627	3268	4609	3266	1554738	H+
atp	1	N	3924	1986	3902	1984	1554739	ATP
rib-D	1	Y	4044	1900	4044	1930	1554740	D-Ribose
h	1	N	3562	1966	3584	1966	1554741	H+
