2-acyl-glycerophospho-ethanolamine acyltransferase (n-C18:1)	2AGPEAT181	be careful of:
3-Oxo-glutaryl-[ACP] methyl ester dehydratase	OGMEACPD	3-cis-2-trans-enoyl-CoA isomerase
acetyl-CoA C-acyltransferase (tetradecanoyl-CoA) (r)	ACACT7r	3-deoxy-D-manno-octulosonic acid transferase
Nucleoside triphosphate pyrophosphorylase (xtp)	NTPP11	"3,5-cyclic-nucleotide phosphodiesterase"
fatty-acid-CoA ligase (octadecenoate transport via vectoral Co-A coupling)	FACOAL181t2pp	5-nucleotidase (AMP)
ribonucleoside-triphosphate reductase (ATP) (flavodoxin)	RNTR1c2	5-nucleotidase (CMP)
2-acyl-glycerophospho-ethanolamine acyltransferase (n-C14:0)	2AGPEAT140	5-nucleotidase (dAMP)
Galactitol transport via diffusion (extracellular to periplasm)	GALTtex	5-nucleotidase (dCMP)
L-arginine transport via ABC system (periplasm)	ARGabcpp	5-nucleotidase (dGMP)
Tetradecanoate transport via facilitated irreversible diffusion (extracellular to periplasm)	TTDCAtexi	5-nucleotidase (dTMP)
magnesium (Mg+2) transport via diffusion (extracellular to periplasm)	MG2tex	5-nucleotidase (dUMP)
dUMP transport via diffusion (extracellular to periplasm)	DUMPtex	5-nucleotidase (GMP)
chitobiose transport via diffusion (extracellular to periplasm)	CHTBStex	5-nucleotidase (IMP)
5-nucleotidase (dCMP)	NTD3	5-nucleotidase (UMP)
5-nucleotidase (dCMP)	NTD3pp	5-nucleotidase (XMP)
phenylacetaldehyde reversible transport via proton symport (periplasm)	PACALDt2rpp	aerobactin reductase
"nitrite Reductase (Ubiquinole-8, periplasm)"	NTRIR3pp	arginine decarboxylase
o-succinylbenzoate-CoA ligase	SUCBZL	b-galactosidase
5-nucleotidase (GMP)	NTD9	betaine-aldehyde dehydrogenase
5-nucleotidase (GMP)	NTD9pp	Biotin sulfoxide reductase
2-Acyl-sn-glycero-3-phosphatidate (n-C12:0) transporter via facilitated diffusion (periplasm)	2AGPA120tipp	coprogen(Fe(III)) reductase
dihydropteroate synthase	DHPS2	D-lactate dehydrogenase
D-methionine transport via ABC system (periplasm)	METDabcpp	Endotoxin Synthesis (myristoyl transferase)
5-nucleotidase (dGMP)	NTD8	enterobacterial common antigen polymerase (periplasm)
5-nucleotidase (dGMP)	NTD8pp	FAD reductase
methionine oxidation (spontaneous)	METOX1s	fatty-acyl-ACP hydrolase
N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide amidase (periplasm)	AGM4PApp	Fe-enterobactin reduction (Fe(III)-unloading)
pyridoxine import	PYDXNtpp	Fe(III)hydroxamate reductase
D-glucose transport via PEP:Pyr PTS (periplasm)	GLCptspp	Ferrichrome reductase
coprogen unloaded secretion (extracellular)	CPGNUtex	ferroxamine reductase
glycerophosphserine transport via diffusion (extracellular to periplasm)	G3PStex	FMN reductase
uracil transport in via proton symport (periplasm)	URAt2pp	fumarate reductase
hydroxymethylbilane synthase	HMBS	glutaminase
O-succinylbenzoate-CoA synthase	SUCBZS	glycerate kinase
"D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase"	GMHEPPA	Glycerophosphodiester phosphodiesterase (Glycerophosphocholine)
nickle (Ni+2) transport out via proton antiport (periplasm)	NI2t3pp	Glycerophosphodiester phosphodiesterase (Glycerophosphoethanolamine)
molybdopterin synthase sulfurylase	MPTSS	Glycerophosphodiester phosphodiesterase (Glycerophosphoglycerol)
UDP-3-O-acetylglucosamine deacetylase	UHGADA	Glycerophosphodiester phosphodiesterase (Glycerophosphoinositol)
histidinol dehydrogenase	HISTD	Glycerophosphodiester phosphodiesterase (Glycerophosphoserine)
coprogen(Fe(III)) reductase	CPGNR1	glycogen phosphorylase
coprogen(Fe(III)) reductase	CPGNR2	Glycolate oxidase
coprogen(Fe(III)) reductase	CPGNR3	L-asparaginase
tungsten bispterin guanine dinucleotide synthase (single GDP)	BWCOGDS1	L-aspartate oxidase
